species	read_count_below_10	RPMM_below_300
1_CP001184_1_Ureaplasma_urealyticum_serovar_10_str__ATCC_33699__complete_genome_BAC	yes	yes
1_CP001185_1_Thermosipho_africanus_TCF52B__complete_genome_BAC	yes	yes
1_CP001196_1_Oligotropha_carboxidovorans_OM5_strain_OM5__complete_genome_BAC	yes	yes
1_CP001279_1_Nautilia_profundicola_AmH__complete_genome_BAC	yes	yes
1_CP001213_1_Bifidobacterium_animalis_subsp__lactis_AD011__complete_genome_BAC	yes	yes
1_CP001220_2_Comamonas_thiooxydans__complete_genome_BAC	yes	yes
1_CP001227_1_Rickettsia_peacockii_str__Rustic__complete_genome_BAC	yes	yes
1_CP001229_1_Sulfurihydrogenibium_azorense_Az_Fu1__complete_genome_BAC	yes	yes
1_CP001230_1_Persephonella_marina_EX_H1__complete_genome_BAC	yes	yes
1_CP001251_1_Dictyoglomus_turgidum_DSM_6724__complete_genome_BAC	yes	yes
1_CP001275_1_Thermomicrobium_roseum_DSM_5159__complete_genome_BAC	yes	yes
1_CP000916_1_Thermotoga_neapolitana_DSM_4359__complete_genome_BAC	yes	yes
1_CP000910_1_Renibacterium_salmoninarum_ATCC_33209__complete_genome_BAC	yes	yes
1_CP000909_1_Chloroflexus_aurantiacus_J_10_fl__complete_genome_BAC	yes	yes
1_CP000908_1_Methylobacterium_extorquens_PA1__complete_genome_BAC	yes	yes
1_CP000606_1_Shewanella_loihica_PV_4__complete_genome_BAC	yes	yes
1_CP000607_1_Chlorobium_phaeovibrioides_DSM_265__complete_genome_BAC	yes	yes
1_CP000612_1_Desulfotomaculum_reducens_MI_1__complete_genome_BAC	yes	yes
1_CP000614_1_Burkholderia_vietnamiensis_G4_chromosome_1__complete_sequence_BAC	yes	yes
1_CP000628_1_Agrobacterium_radiobacter_K84_chromosome_1__complete_sequence_BAC	yes	yes
1_CP000633_1_Agrobacterium_vitis_S4_chromosome_1__complete_sequence_BAC	yes	yes
1_CP000644_1_Aeromonas_salmonicida_subsp__salmonicida_A449__complete_genome_BAC	yes	yes
1_CP000655_1_Polynucleobacter_asymbioticus_QLW_P1DMWA_1__complete_genome_BAC	yes	yes
1_CP000667_1_Salinispora_tropica_CNB_440__complete_genome_BAC	yes	yes
1_CP000679_1_Caldicellulosiruptor_saccharolyticus_DSM_8903__complete_genome_BAC	yes	yes
1_CP000681_1_Shewanella_putrefaciens_CN_32__complete_genome_BAC	yes	yes
1_CP000683_1_Rickettsia_massiliae_MTU5__complete_genome_BAC	yes	yes
1_CP000685_1_Flavobacterium_johnsoniae_UW101__complete_genome_BAC	yes	yes
1_CP000697_1_Acidiphilium_cryptum_JF_5__complete_genome_BAC	yes	yes
1_CP000698_1_Geobacter_uraniireducens_Rf4__complete_genome_BAC	yes	yes
1_CP000699_1_Sphingomonas_wittichii_RW1__complete_genome_BAC	yes	yes
1_CP000702_1_Thermotoga_petrophila_RKU_1__complete_genome_BAC	yes	yes
1_CP000577_1_Rhodobacter_sphaeroides_ATCC_17029_chromosome_1__complete_sequence_BAC	yes	yes
1_CP000569_1_Actinobacillus_pleuropneumoniae_L20_serotype_5b_complete_genome_BAC	yes	yes
1_CP000568_1_Ruminiclostridium_thermocellum_ATCC_27405_chromosome__complete_genome_BAC	yes	yes
1_CP000492_1_Chlorobium_phaeobacteroides_DSM_266__complete_genome_BAC	yes	yes
1_CP000474_1_Paenarthrobacter_aurescens_TC1_chromosome__complete_genome_BAC	yes	yes
1_CP000478_1_Syntrophobacter_fumaroxidans_MPOB__complete_genome_BAC	yes	yes
1_CP000480_1_Mycobacterium_smegmatis_str__MC2_155__complete_genome_BAC	yes	yes
1_CP000481_1_Acidothermus_cellulolyticus_11B__complete_genome_BAC	yes	yes
1_CP000482_1_Pelobacter_propionicus_DSM_2379__complete_genome_BAC	yes	yes
1_CP000487_1_Campylobacter_fetus_subsp__fetus_82_40__complete_genome_BAC	yes	yes
1_CP000489_1_Paracoccus_denitrificans_PD1222_chromosome_1__complete_sequence_BAC	yes	yes
1_CP000507_1_Shewanella_amazonensis_SB2B__complete_genome_BAC	yes	yes
1_CP000557_1_Geobacillus_thermodenitrificans_NG80_2__complete_genome_BAC	yes	yes
1_CP000510_1_Psychromonas_ingrahamii_37__complete_genome_BAC	yes	yes
1_CP000511_1_Mycobacterium_vanbaalenii_PYR_1__complete_genome_BAC	yes	yes
1_CP000513_1_Dichelobacter_nodosus_VCS1703A__complete_genome_BAC	yes	yes
1_CP000521_1_Acinetobacter_baumannii_ATCC_17978__complete_genome_BAC	yes	yes
1_CP000524_1_Bartonella_bacilliformis_KC583__complete_genome_BAC	yes	yes
1_CP000527_1_Desulfovibrio_vulgaris_DP4__complete_genome_BAC	yes	yes
1_CP000529_1_Polaromonas_naphthalenivorans_CJ2__complete_genome_BAC	yes	yes
1_CP000708_1_Brucella_ovis_ATCC_25840_chromosome_I__complete_sequence_BAC	yes	yes
1_CP000716_1_Thermosipho_melanesiensis_BI429__complete_genome_BAC	yes	yes
1_CP000720_1_Yersinia_pseudotuberculosis_IP_31758__complete_genome_BAC	yes	yes
1_CP000851_1_Shewanella_pealeana_ATCC_700345__complete_genome_BAC	yes	yes
1_CP000817_1_Lysinibacillus_sphaericus_C3_41__complete_genome_BAC	yes	yes
1_CP000821_1_Shewanella_sediminis_HAW_EB3__complete_genome_BAC	yes	yes
1_CP000826_1_Serratia_proteamaculans_568__complete_genome_BAC	yes	yes
1_CP000828_1_Acaryochloris_marina_MBIC11017__complete_genome_BAC	yes	yes
1_CP000830_1_Dinoroseobacter_shibae_DFL_12__complete_genome_BAC	yes	yes
1_CP000847_1_Rickettsia_akari_str__Hartford__complete_genome_BAC	yes	yes
1_CP000850_1_Salinispora_arenicola_CNS_205__complete_genome_BAC	yes	yes
1_CP000853_1_Alkaliphilus_oremlandii_OhILAs__complete_genome_BAC	yes	yes
1_CP000812_1_Pseudothermotoga_lettingae_TMO_chromosome__complete_genome_BAC	yes	yes
1_CP000854_1_Mycobacterium_marinum_M__complete_genome_BAC	yes	yes
1_CP000859_1_Desulfococcus_oleovorans_Hxd3__complete_genome_BAC	yes	yes
1_CP000872_1_Brucella_canis_ATCC_23365_chromosome_I__complete_sequence_BAC	yes	yes
1_CP000875_1_Herpetosiphon_aurantiacus_DSM_785__complete_genome_BAC	yes	yes
1_CP000879_1_Petrotoga_mobilis_SJ95__complete_genome_BAC	yes	yes
1_CP000885_1_Lachnoclostridium_phytofermentans_ISDg_chromosome__complete_genome_BAC	yes	yes
1_CP000903_1_Bacillus_weihenstephanensis_KBAB4__complete_genome_BAC	yes	yes
1_CP000813_4_Bacillus_pumilus_SAFR_032_chromosome__complete_genome_BAC	yes	yes
1_CP000804_1_Roseiflexus_castenholzii_DSM_13941__complete_genome_BAC	yes	yes
1_CP000721_1_Clostridium_beijerinckii_NCIMB_8052__complete_genome_BAC	yes	yes
1_CP000764_1_Bacillus_cytotoxicus_NVH_391_98__complete_genome_BAC	yes	yes
1_CP000724_1_Alkaliphilus_metalliredigens_QYMF__complete_genome_BAC	yes	yes
1_CP000725_1_Streptococcus_gordonii_str__Challis_substr__CH1__complete_genome_BAC	yes	yes
1_CP000726_1_Clostridium_botulinum_A_str__ATCC_19397__complete_genome_BAC	yes	yes
1_CP000738_1_Sinorhizobium_medicae_WSM419__complete_genome_BAC	yes	yes
1_CP000746_1_Actinobacillus_succinogenes_130Z__complete_genome_BAC	yes	yes
1_CP000747_1_Phenylobacterium_zucineum_HLK1__complete_genome_BAC	yes	yes
1_CP000750_2_Kineococcus_radiotolerans_SRS30216__complete_genome_BAC	yes	yes
1_CP000766_3_Rickettsia_rickettsii_str__Iowa__complete_genome_BAC	yes	yes
1_CP000792_2_Campylobacter_concisus_13826__complete_genome_BAC	yes	yes
1_CP000767_2_Campylobacter_curvus_525_92__complete_genome_BAC	yes	yes
1_CP000771_1_Fervidobacterium_nodosum_Rt17_B1__complete_genome_BAC	yes	yes
1_CP000774_1_Parvibaculum_lavamentivorans_DS_1__complete_genome_BAC	yes	yes
1_CP000776_1_Campylobacter_hominis_ATCC_BAA_381__complete_genome_BAC	yes	yes
1_CP000777_1_Leptospira_biflexa_serovar_Patoc_strain_Patoc_1__Ames__chromosome_I__complete_sequence_BAC	yes	yes
1_CP000781_1_Xanthobacter_autotrophicus_Py2__complete_genome_BAC	yes	yes
1_CP000789_1_Vibrio_campbellii_ATCC_BAA_1116_chromosome_I__complete_sequence_BAC	yes	yes
1_CP001607_1_Aggregatibacter_aphrophilus_NJ8700__complete_genome_BAC	yes	yes
1_CP001612_1_Rickettsia_africae_ESF_5__complete_genome_BAC	yes	yes
1_CP001614_2_Teredinibacter_turnerae_T7901__complete_genome_BAC	yes	yes
1_CP001940_1_Desulfurivibrio_alkaliphilus_AHT2__complete_genome_BAC	yes	yes
1_CP002026_1_Starkeya_novella_DSM_506__complete_genome_BAC	yes	yes
1_CP002028_1_Thermincola_potens_JR_chromosome__complete_genome_BAC	yes	yes
1_CP002032_1_Thermoanaerobacter_mathranii_subsp__mathranii_str__A3__complete_genome_BAC	yes	yes
1_CP002040_1_Nocardiopsis_dassonvillei_subsp__dassonvillei_DSM_43111_chromosome_1__complete_sequence_BAC	yes	yes
1_CP002042_1_Meiothermus_silvanus_DSM_9946__complete_genome_BAC	yes	yes
1_CP002045_1_Arcanobacterium_haemolyticum_DSM_20595__complete_genome_BAC	yes	yes
1_CP002046_1_Croceibacter_atlanticus_HTCC2559__complete_genome_BAC	yes	yes
1_CP002047_1_Streptomyces_bingchenggensis_BCW_1__complete_genome_BAC	yes	yes
1_CP002048_1_Syntrophothermus_lipocalidus_DSM_12680__complete_genome_BAC	yes	yes
1_CP002049_1_Truepera_radiovictrix_DSM_17093__complete_genome_BAC	yes	yes
1_CP002056_1_Methylotenera_versatilis_301__complete_genome_BAC	yes	yes
1_CP002078_1_Brucella_pinnipedialis_B2_94_chromosome_1__complete_sequence_BAC	yes	yes
1_CP002080_1_Acinetobacter_oleivorans_DR1__complete_genome_BAC	yes	yes
1_CP002082_1_Spiroplasma_mirum_ATCC_29335__complete_genome_BAC	yes	yes
1_CP002083_1_Hyphomicrobium_denitrificans_ATCC_51888__complete_genome_BAC	yes	yes
1_CP002084_1_Dehalogenimonas_lykanthroporepellens_BL_DC_9__complete_genome_BAC	yes	yes
1_CP002085_1_Desulfarculus_baarsii_DSM_2075__complete_genome_BAC	yes	yes
1_CP002025_1_Brachyspira_pilosicoli_95_1000__complete_genome_BAC	yes	yes
1_CP002021_1_Thiomonas_intermedia_K12__complete_genome_BAC	yes	yes
1_CP002017_1_Kyrpidia_tusciae_DSM_2912__complete_genome_BAC	yes	yes
1_CP001991_1_Mycoplasma_crocodyli_MP145__complete_genome_BAC	yes	yes
1_CP001959_1_Brachyspira_murdochii_DSM_12563__complete_genome_BAC	yes	yes
1_CP001962_1_Thermus_scotoductus_SA_01__complete_genome_BAC	yes	yes
1_CP001964_1_Cellulomonas_flavigena_DSM_20109__complete_genome_BAC	yes	yes
1_CP001965_1_Sideroxydans_lithotrophicus_ES_1__complete_genome_BAC	yes	yes
1_CP001966_1_Tsukamurella_paurometabola_DSM_20162__complete_genome_BAC	yes	yes
1_CP001968_1_Denitrovibrio_acetiphilus_DSM_12809__complete_genome_BAC	yes	yes
1_CP001978_1_Marinobacter_adhaerens_HP15__complete_genome_BAC	yes	yes
1_CP001992_1_Mobiluncus_curtisii_ATCC_43063__complete_genome_BAC	yes	yes
1_CP002008_1_Caulobacter_segnis_ATCC_21756__complete_genome_BAC	yes	yes
1_CP001995_1_Mycoplasma_fermentans_JER__complete_genome_BAC	yes	yes
1_CP001997_1_Aminobacterium_colombiense_DSM_12261__complete_genome_BAC	yes	yes
1_CP001998_1_Coraliomargarita_akajimensis_DSM_45221__complete_genome_BAC	yes	yes
1_CP001999_1_Arcobacter_nitrofigilis_DSM_7299__complete_genome_BAC	yes	yes
1_CP002000_1_Amycolatopsis_mediterranei_U32__complete_genome_BAC	yes	yes
1_CP002005_1_Moraxella_catarrhalis_BBH18__complete_genome_BAC	yes	yes
1_CP002006_1_Prevotella_ruminicola_23__complete_genome_BAC	yes	yes
1_CP002086_1_Nitrosococcus_watsonii_C_113_chromosome__complete_genome_BAC	yes	yes
1_CP002097_1_Corynebacterium_pseudotuberculosis_FRC41__complete_genome_BAC	yes	yes
1_CP002103_1_Treponema_paraluiscuniculi_Cuniculi_A__complete_genome_BAC	yes	yes
1_CP002292_1_Rhodomicrobium_vannielii_ATCC_17100__complete_genome_BAC	yes	yes
1_CP002271_1_Stigmatella_aurantiaca_DW4_3_1__complete_genome_BAC	yes	yes
1_CP002273_2_Eubacterium_callanderi_strain_KIST612__complete_genome_BAC	yes	yes
1_CP002275_1_Mycobacterium_indicus_pranii_MTCC_9506__complete_genome_BAC	yes	yes
1_CP002280_1_Rothia_dentocariosa_ATCC_17931__complete_genome_BAC	yes	yes
1_CP002281_1_Ilyobacter_polytropus_DSM_2926__complete_genome_BAC	yes	yes
1_CP002284_1_Vibrio_anguillarum_775_chromosome_I__complete_sequence_BAC	yes	yes
1_CP002287_1_Achromobacter_xylosoxidans_A8__complete_genome_BAC	yes	yes
1_CP002295_1_Serratia_symbiotica_str__Cinara_cedri__complete_genome_BAC	yes	yes
1_CP002220_1_Bifidobacterium_bifidum_S17__complete_genome_BAC	yes	yes
1_CP002299_1_Frankia_inefficax_strain_EuI1c_chromosome__complete_genome_BAC	yes	yes
1_CP002304_1_Halanaerobium_hydrogeniformans_chromosome__complete_genome_BAC	yes	yes
1_CP002305_1_Leadbetterella_byssophila_DSM_17132__complete_genome_BAC	yes	yes
1_CP002326_1_Caldicellulosiruptor_kristjanssonii_I77R1B__complete_genome_BAC	yes	yes
1_CP002329_1_Mycobacterium_sinense_strain_JDM601__complete_genome_BAC	yes	yes
1_CP002330_1_Caldicellulosiruptor_kronotskyensis_2002__complete_genome_BAC	yes	yes
1_CP002339_1_Alteromonas_naphthalenivorans_strain_SN2__complete_genome_BAC	yes	yes
1_CP002224_1_Ketogulonicigenium_vulgare_Y25__complete_genome_BAC	yes	yes
1_CP002219_1_Caldicellulosiruptor_hydrothermalis_108__complete_genome_BAC	yes	yes
1_CP002105_1_Acetohalobium_arabaticum_DSM_5501__complete_genome_BAC	yes	yes
1_CP002159_1_Gallionella_capsiferriformans_ES_2__complete_genome_BAC	yes	yes
1_CP002106_1_Olsenella_uli_DSM_7084__complete_genome_BAC	yes	yes
1_CP002108_1_Mycoplasma_leachii_PG50_clone_MU_clone_A8__complete_genome_BAC	yes	yes
1_CP002113_1_Capnocytophaga_canimorsus_Cc5__complete_genome_BAC	yes	yes
1_CP002116_1_Sediminispirochaeta_smaragdinae_DSM_11293_chromosome__complete_genome_BAC	yes	yes
1_CP002122_1_Prevotella_melaninogenica_ATCC_25845_chromosome_I__complete_sequence_BAC	yes	yes
1_CP002131_1_Thermosediminibacter_oceani_DSM_16646__complete_genome_BAC	yes	yes
1_CP002156_1_Parvularcula_bermudensis_HTCC2503_strain_HTCC2503__complete_genome_BAC	yes	yes
1_CP002162_1_Micromonospora_aurantiaca_ATCC_27029__complete_genome_BAC	yes	yes
1_CP002216_1_Caldicellulosiruptor_owensensis_OL__complete_genome_BAC	yes	yes
1_CP002164_1_Caldicellulosiruptor_obsidiansis_OB47__complete_genome_BAC	yes	yes
1_CP002170_1_Mycoplasma_hyorhinis_HUB_1__complete_genome_BAC	yes	yes
1_CP002171_1_Thermoanaerobacterium_thermosaccharolyticum_DSM_571__complete_genome_BAC	yes	yes
1_CP002177_1_Acinetobacter_pittii_PHEA_2_chromosome__complete_genome_BAC	yes	yes
1_CP002188_1_Mycoplasma_bovis_PG45_clone_MU_clone_A2__complete_genome_BAC	yes	yes
1_CP002205_1_Sulfurimonas_autotrophica_DSM_16294__complete_genome_BAC	yes	yes
1_CP002209_1_Ferrimonas_balearica_DSM_9799__complete_genome_BAC	yes	yes
1_CP001958_1_Segniliparus_rotundus_DSM_44985__complete_genome_BAC	yes	yes
1_CP001936_1_Thermoanaerobacter_italicus_Ab9__complete_genome_BAC	yes	yes
1_CP001617_1_Lactobacillus_plantarum_JDM1__complete_genome_BAC	yes	yes
1_CP001931_1_Thermocrinis_albus_DSM_14484__complete_genome_BAC	yes	yes
1_CP001684_1_Slackia_heliotrinireducens_DSM_20476__complete_genome_BAC	yes	yes
1_CP001686_1_Kytococcus_sedentarius_DSM_20547__complete_genome_BAC	yes	yes
1_CP001698_1_Spirochaeta_thermophila_DSM_6192__complete_genome_BAC	yes	yes
1_CP001699_1_Chitinophaga_pinensis_DSM_2588__complete_genome_BAC	yes	yes
1_CP001700_1_Catenulispora_acidiphila_DSM_44928__complete_genome_BAC	yes	yes
1_CP001706_1_Jonesia_denitrificans_DSM_20603__complete_genome_BAC	yes	yes
1_CP001707_1_Kangiella_koreensis_DSM_16069__complete_genome_BAC	yes	yes
1_CP001708_1_Anaerococcus_prevotii_DSM_20548__complete_genome_BAC	yes	yes
1_CP001712_1_Robiginitalea_biformata_HTCC2501__complete_genome_BAC	yes	yes
1_CP001720_1_Desulfotomaculum_acetoxidans_DSM_771__complete_genome_BAC	yes	yes
1_CP001721_1_Atopobium_parvulum_DSM_20469__complete_genome_BAC	yes	yes
1_CP001726_1_Eggerthella_lenta_DSM_2243__complete_genome_BAC	yes	yes
1_CP001727_1_Alicyclobacillus_acidocaldarius_subsp__acidocaldarius_DSM_446__complete_genome_BAC	yes	yes
1_CP001733_2_Aggregatibacter_actinomycetemcomitans_D11S_1__complete_genome_BAC	yes	yes
1_CP001734_1_Desulfohalobium_retbaense_DSM_5692__complete_genome_BAC	yes	yes
1_CP001737_1_Nakamurella_multipartita_DSM_44233_chromosome__complete_genome_BAC	yes	yes
1_CP001738_1_Thermomonospora_curvata_DSM_43183__complete_genome_BAC	yes	yes
1_CP001683_1_Saccharomonospora_viridis_DSM_43017__complete_genome_BAC	yes	yes
1_CP001682_1_Cryptobacterium_curtum_DSM_15641__complete_genome_BAC	yes	yes
1_CP001681_1_Pedobacter_heparinus_DSM_2366__complete_genome_BAC	yes	yes
1_CP001634_1_Kosmotoga_olearia_TBF_19_5_1__complete_genome_BAC	yes	yes
1_CP001618_1_Beutenbergia_cavernae_DSM_12333__complete_genome_BAC	yes	yes
1_CP001619_1_Dyadobacter_fermentans_DSM_18053__complete_genome_BAC	yes	yes
1_CP001620_1_Corynebacterium_kroppenstedtii_DSM_44385__complete_genome_BAC	yes	yes
1_CP001629_1_Desulfomicrobium_baculatum_DSM_4028__complete_genome_BAC	yes	yes
1_CP001630_1_Actinosynnema_mirum_DSM_43827__complete_genome_BAC	yes	yes
1_CP001631_1_Acidimicrobium_ferrooxidans_DSM_10331__complete_genome_BAC	yes	yes
1_CP001632_1_Capnocytophaga_ochracea_DSM_7271__complete_genome_BAC	yes	yes
1_CP001643_1_Brachybacterium_faecium_DSM_4810_strain_6_10__complete_genome_BAC	yes	yes
1_CP001678_1_Hirschia_baltica_ATCC_49814__complete_genome_BAC	yes	yes
1_CP001649_1_Desulfovibrio_salexigens_DSM_2638__complete_genome_BAC	yes	yes
1_CP001650_1_Zunongwangia_profunda_SM_A87__complete_genome_BAC	yes	yes
1_CP001657_1_Pectobacterium_carotovorum_subsp__carotovorum_PC1__complete_genome_BAC	yes	yes
1_CP001666_1_Clostridium_ljungdahlii_DSM_13528__complete_genome_BAC	yes	yes
1_CP001672_1_Methylotenera_mobilis_JLW8__complete_genome_BAC	yes	yes
1_CP001673_1_Flavobacteriaceae_bacterium_3519_10__complete_genome_BAC	yes	yes
1_CP001674_1_Methylovorus_glucosetrophus_SIP3_4__complete_genome_BAC	yes	yes
1_CP001739_1_Sebaldella_termitidis_ATCC_33386__complete_genome_BAC	yes	yes
1_CP001743_1_Meiothermus_ruber_DSM_1279__complete_genome_BAC	yes	yes
1_CP001744_1_Planctopirus_limnophila_DSM_3776_chromosome__complete_genome_BAC	yes	yes
1_CP001850_2_Mageeibacillus_indolicus_UPII9_5_chromosome__complete_genome_BAC	yes	yes
1_CP001825_1_Thermobaculum_terrenum_ATCC_BAA_798_chromosome_1__complete_sequence_BAC	yes	yes
1_CP001836_1_Dickeya_zeae_Ech586_chromosome__complete_genome_BAC	yes	yes
1_CP001839_1_Thermotoga_naphthophila_RKU_10__complete_genome_BAC	yes	yes
1_CP001841_1_Treponema_azotonutricium_ZAS_9__complete_genome_BAC	yes	yes
1_CP001843_1_Treponema_primitia_ZAS_2__complete_genome_BAC	yes	yes
1_CP001848_1_Pirellula_staleyi_DSM_6068__complete_genome_BAC	yes	yes
1_CP001849_1_Gardnerella_vaginalis_409_05__complete_genome_BAC	yes	yes
1_CP001854_1_Conexibacter_woesei_DSM_14684__complete_genome_BAC	yes	yes
1_CP001821_1_Xylanimonas_cellulosilytica_DSM_15894__complete_genome_BAC	yes	yes
1_CP001859_1_Acidaminococcus_fermentans_DSM_20731__complete_genome_BAC	yes	yes
1_CP001867_1_Geodermatophilus_obscurus_DSM_43160__complete_genome_BAC	yes	yes
1_CP001872_1_Mycoplasma_gallisepticum_str__R_high___complete_genome_BAC	yes	yes
1_CP001874_1_Thermobispora_bispora_DSM_43833__complete_genome_BAC	yes	yes
1_CP001878_2_Bacillus_pseudofirmus_OF4__complete_genome_BAC	yes	yes
1_CP001896_1_Allochromatium_vinosum_DSM_180__complete_genome_BAC	yes	yes
1_CP001928_1_Waddlia_chondrophila_WSU_86_1044__complete_genome_BAC	yes	yes
1_CP001823_1_Sphaerobacter_thermophilus_DSM_20745_chromosome_1__complete_sequence_BAC	yes	yes
1_CP001820_1_Veillonella_parvula_DSM_2008__complete_genome_BAC	yes	yes
1_CP001750_1_Bifidobacterium_dentium_Bd1__complete_genome_BAC	yes	yes
1_CP001801_1_Halothiobacillus_neapolitanus_c2__complete_genome_BAC	yes	yes
1_CP001759_1_Anaplasma_centrale_str__Israel__complete_genome_BAC	yes	yes
1_CP001769_1_Spirosoma_linguale_DSM_74__complete_genome_BAC	yes	yes
1_CP001778_1_Stackebrandtia_nassauensis_DSM_44728__complete_genome_BAC	yes	yes
1_CP001779_1_Streptobacillus_moniliformis_DSM_12112__complete_genome_BAC	yes	yes
1_CP001785_1_Ammonifex_degensii_KC4__complete_genome_BAC	yes	yes
1_CP001792_1_Fibrobacter_succinogenes_subsp__succinogenes_S85__complete_genome_BAC	yes	yes
1_CP001798_1_Nitrosococcus_halophilus_Nc4__complete_genome_BAC	yes	yes
1_CP001802_1_Gordonia_bronchialis_DSM_43247__complete_genome_BAC	yes	yes
1_CP001819_1_Sanguibacter_keddieii_DSM_10542__complete_genome_BAC	yes	yes
1_CP001804_1_Haliangium_ochraceum_DSM_14365__complete_genome_BAC	yes	yes
1_CP001805_1_Vibrio_antiquarius_strain_EX25_chromosome_1__complete_sequence_BAC	yes	yes
1_CP001807_1_Rhodothermus_marinus_DSM_4252__complete_genome_BAC	yes	yes
1_CP001810_1_Butyrivibrio_proteoclasticus_B316_chromosome_1__complete_sequence_BAC	yes	yes
1_CP001814_1_Streptosporangium_roseum_DSM_43021__complete_genome_BAC	yes	yes
1_CP001816_1_Sulfurospirillum_deleyianum_DSM_6946__complete_genome_BAC	yes	yes
1_CP001818_1_Thermanaerovibrio_acidaminovorans_DSM_6589__complete_genome_BAC	yes	yes
1_CP000472_1_Shewanella_piezotolerans_WP3__complete_genome_BAC	yes	yes
1_CP000471_1_Magnetococcus_marinus_MC_1__complete_genome_BAC	yes	yes
1_CP000462_1_Aeromonas_hydrophila_subsp__hydrophila_ATCC_7966__complete_genome_BAC	yes	yes
1_AE017354_1_Legionella_pneumophila_subsp__pneumophila_str__Philadelphia_1__complete_genome_BAC	yes	yes
1_AM711867_1_Clavibacter_michiganensis_subsp__michiganensis_NCPPB_382_complete_genome_BAC	yes	yes
1_AM746676_1_Sorangium_cellulosum_So_ce_56_complete_genome_BAC	yes	yes
1_AM747720_1_Burkholderia_cenocepacia_J2315_chromosome_1__complete_genome_BAC	yes	yes
1_AM942444_1_Corynebacterium_urealyticum_DSM_7109_complete_genome_BAC	yes	yes
1_AM942759_1_Proteus_mirabilis_strain_HI4320__complete_genome_BAC	yes	yes
1_AM946015_1_Streptococcus_uberis_0140J_complete_genome_BAC	yes	yes
1_AP006627_1_Bacillus_clausii_KSM_K16_DNA__complete_genome_BAC	yes	yes
1_AP006840_1_Symbiobacterium_thermophilum_IAM_14863_DNA__complete_genome_BAC	yes	yes
1_AP006841_1_Bacteroides_fragilis_YCH46_DNA__complete_genome_BAC	yes	yes
1_AP006861_1_Chlamydia_felis_Fe_C_56_Fe_C_56_DNA__complete_genome_BAC	yes	yes
1_AP008231_1_Synechococcus_elongatus_PCC_6301_DNA__complete_genome_BAC	yes	yes
1_AP008955_1_Brevibacillus_brevis_NBRC_100599_DNA__complete_genome_BAC	yes	yes
1_AP008971_1_Finegoldia_magna_ATCC_29328_DNA__complete_genome_BAC	yes	yes
1_AP008981_1_Orientia_tsutsugamushi_str__Ikeda_DNA__complete_genome_BAC	yes	yes
1_AP009044_1_Corynebacterium_glutamicum_R_DNA__complete_genome_BAC	yes	yes
1_AP009049_1_Clostridium_kluyveri_NBRC_12016_DNA__complete_genome_BAC	yes	yes
1_AP009152_1_Kocuria_rhizophila_DC2201_DNA__complete_genome_BAC	yes	yes
1_AM420293_1_Saccharopolyspora_erythraea_NRRL2338_complete_genome_BAC	yes	yes
1_AM408590_1_Mycobacterium_bovis_BCG_Pasteur_1173P2__complete_genome_BAC	yes	yes
1_AM398681_2_Flavobacterium_psychrophilum_JIP02_86_complete_genome_BAC	yes	yes
1_AL954747_1_Nitrosomonas_europaea_ATCC_19718__complete_genome_BAC	yes	yes
1_AF222894_1_Ureaplasma_parvum_serovar_3_str__ATCC_700970__complete_genome_BAC	yes	yes
1_AJ749949_2_Francisella_tularensis_subsp__tularensis_SCHU_S4_complete_genome_BAC	yes	yes
1_AL111168_1_Campylobacter_jejuni_subsp__jejuni_NCTC_11168_complete_genome_BAC	yes	yes
1_AL445566_1_Mycoplasma_pulmonis_UAB_CTIP__complete_genome_BAC	yes	yes
1_AL591688_1_Sinorhizobium_meliloti_1021_complete_chromosome_BAC	yes	yes
1_AL645882_2_Streptomyces_coelicolor_A3_2__complete_genome_BAC	yes	yes
1_AL646052_1_Ralstonia_solanacearum_GMI1000_chromosome_complete_sequence_BAC	yes	yes
1_AM180252_1_Lawsonia_intracellularis_PHE_MN1_00_BAC	yes	yes
1_AM295250_1_Staphylococcus_carnosus_subsp__carnosus_TM300_complete_genome_BAC	yes	yes
1_AM180355_1_Clostridium_difficile_630_complete_genome_BAC	yes	yes
1_AM236080_1_Rhizobium_leguminosarum_bv__viciae_chromosome_complete_genome__strain_3841_BAC	yes	yes
1_AM260479_1_Ralstonia_eutropha_H16_chromosome_1_BAC	yes	yes
1_AM260522_1_Helicobacter_acinonychis_str__Sheeba_complete_genome__strain_Sheeba_BAC	yes	yes
1_AM260525_1_Bartonella_tribocorum_CIP_105476_complete_genome__type_strain_CIP_105476_BAC	yes	yes
1_AM286415_1_Yersinia_enterocolitica_subsp__enterocolitica_8081_complete_genome_BAC	yes	yes
1_AM286690_1_Alcanivorax_borkumensis_SK2__complete_genome_BAC	yes	yes
1_AP009153_1_Gemmatimonas_aurantiaca_T_27_DNA__complete_genome_BAC	yes	yes
1_AP009256_1_Bifidobacterium_adolescentis_ATCC_15703_DNA__complete_genome_BAC	yes	yes
1_AP009384_1_Azorhizobium_caulinodans_ORS_571_DNA__complete_genome_BAC	yes	yes
1_AP012319_1_Actinoplanes_missouriensis_431_DNA__complete_genome_BAC	yes	yes
1_AP012157_1_Solibacillus_silvestris_StLB046_DNA__complete_genome_BAC	yes	yes
